QUERY,CIRCE,SEMANTIC,OVERLAP
organizzazione e gestione a mezzo di profess,['85.59.2'],"['93.11.2', '01.61.0', '82.30.0', '52.10.2', '91.03.0', '93.13.0', '94.12.1', '69.20.1', '52.21.1', '96.09.0']",0
assistenza alla regia,['90.02.0'],"['96.09.0', '82.19.0', '95.11.0', '82.11.0', '70.22.0', '84.22.0', '93.11.1', '45.20.1', '90.02.0']",1
fabbricazione articoli tessili,['13.96.2'],"['13.96.2', '28.94.1', '13.91.0', '14.20.0', '32.30.0', '14.31.0', '31.03.0', '13.99.9', '13.92.2', '20.59.6']",1
polli allo spiedo,['56.10.2'],"['01.49.2', '10.85.0', '56.30.0', '93.11.9', '01.47.0', '01.46.0', '01.49.9', '10.39.0', '46.38.3', '92.00.0']",0
sfalci  spalatura neve  piccola manutenzione,['81.29.9'],"['43.39.0', '45.20.9', '77.21.0', '95.22.0', '81.29.9', '45.20.1', '33.11.0']",1
commercio all     ingrosso di calzature e accessori  cod  reg,['46.42.4'],"['46.42.4', '46.42.1', '46.46.3', '46.73.2', '46.43.1', '45.31.0', '46.42.2', '47.82.0', '46.41.1', '47.72.1']",1
noleggio attrezzature audio,"['77.39.9', '95.12.0', '77.22.0', '77.33.0', '77.31.0']","['77.21.0', '77.29.9', '77.39.9', '95.29.0', '77.35.0', '77.22.0', '77.11.0', '77.31.0', '90.02.0']",1
inserimento dati alle imprese,['63.11.1'],"['63.11.1', '63.11.2', '18.13.0', '70.22.0', '33.20.0', '63.12.0', '68.20.0', '69.20.1']",1
opere d     arte,"['46.49.9', '47.78.3']","['86.23.0', '23.19.2', '42.91.0', '90.01.0', '43.99.0', '90.03.0', '85.52.0', '91.02.0', '93.29.9']",0
altra attivita scentifica,"['74.90.9', 'n.c.   ']","['39.00.0', '90.01.0', '74.20.1', '81.29.9', '90.03.0', '74.90.2', '85.60.0', '58.19.0', '74.10.9', '90.02.0']",0
vendita online specialita gastronomiche,['47.91.1'],"['47.63.0', '47.11.5', '47.54.0', '45.11.0', '47.78.3', '45.19.0', '47.29.3', '46.38.3', '47.81.0', '47.91.1']",1
istruttore di sport,['85.51.0'],"['93.19.9', '46.18.9', '93.19.1', '77.21.0', '32.30.0', '85.51.0', '93.12.0', '85.52.0']",1
distruitore articolli garden,[],"['33.12.6', '43.11.0', '95.11.0', '95.22.0', '38.31.1', '81.22.0', '46.15.0', '01.30.0', '02.20.0', '33.12.5']",0
manutezione impianti gas,"['45.20.3', '43.21.0', '43.22.0']","['43.22.0', '09.10.0', '33.12.1', '33.12.9', '35.21.0', '49.50.1', '33.12.5', '33.11.0', '20.11.0']",1
addetti all     impiego,['90.03.0'],"['46.16.0', '94.20.0', '46.14.0', '66.22.0', '52.29.2', '69.20.3', '46.11.0', '84.13.9', '46.18.2', '74.10.9']",0
associazione calcio dilettantistica,['93.12.0'],"['93.19.9', '93.19.1', '94.99.2', '94.12.2', '94.99.6', '94.99.9', '93.12.0', '47.82.0', '94.11.0', '94.99.3']",1
"servizi su commissione per intermediazione immobiliare, articoli di stampa, pubblicitmarketing, produzione video",['68.31.0'],"['66.19.2', '61.90.9', '73.12.0', '63.91.0', '46.15.0', '68.31.0', '64.99.1', '79.90.1', '74.90.9']",1
azienda ospedaliera universitaria,['85.42.0'],"['86.23.0', '87.10.0', '85.59.9', '86.10.3', '85.59.1', '86.10.1', '26.60.0', '68.20.0', '86.10.2', '94.11.0']",0
"direzione artistica, consulenza, curatore",['90.02.0'],"['52.21.2', '71.12.3', '74.90.3', '70.22.0', '90.03.0', '85.52.0', '90.04.0', '69.20.1', '74.10.2', '90.02.0']",1
snc vendita gioccatoli al dettaglio,"['47.71.1', '47.41.0', '47.11.4', '47.51.1', '47.59.1', '47.42.0']","['47.41.0', '47.43.0', '47.54.0', '47.89.0', '47.52.4', '47.59.5', '47.64.2', '46.49.3', '47.65.0', '47.25.0']",1
vendita giornali riviste lattine coca cola,['47.62.1'],"['58.13.0', '73.12.0', '82.99.2', '46.49.2', '18.11.0', '73.11.0', '63.91.0', '46.43.3', '18.12.0', '47.62.1']",1
progettazione e consulenza in ambito impi,['71.12.1'],"['66.19.2', '74.90.3', '71.12.2', '70.22.0', '62.02.0', '71.11.0', '71.12.1', '74.90.2', '74.90.9']",1
commercio al dettaglio su internet,['47.91.1'],"['47.71.1', '47.41.0', '47.76.1', '47.54.0', '47.23.0', '47.51.1', '47.26.0', '47.29.3', '47.91.1', '47.25.0']",1
lavori di costruzione,['41.20.0'],"['43.39.0', '42.12.0', '30.30.0', '43.99.0', '42.91.0', '43.91.0', '43.29.0', '41.20.0', '42.21.0', '42.13.0']",1
cooperativa sociale seaf,['n.c.   '],"['64.30.2', '01.16.0', '25.73.1', '56.30.0', '47.29.2', '10.83.0', '64.19.1', '64.92.0', '69.20.1', '64.91.0']",0
vendita di articoli sportivi,['47.64.1'],"['46.42.1', '47.71.1', '93.19.9', '93.19.1', '77.21.0', '32.30.0', '47.64.1', '46.49.4', '93.12.0', '14.19.2']",1
l     attivita svolta e  catering per eventi  banqueting,['56.21.0'],"['69.10.1', '56.10.1', '45.40.1', '56.21.0', '64.99.3', '92.00.0', '66.19.1', '56.29.2', '64.99.2', '96.09.0']",1
gestione rifiuti pericolosi e non pericolosi,"['38.12.0', '38.22.0', '38.11.0', '38.21.0']","['84.12.3', '52.21.5', '38.11.0', '91.03.0', '49.41.0', '38.21.0', '38.12.0', '36.00.0', '37.00.0', '38.22.0']",1
isolazione termica degli edifici,['43.29.0'],"['25.61.0', '43.34.0', '39.00.0', '43.29.0', '43.91.0', '23.43.0', '23.12.0', '23.19.9', '96.04.2', '43.21.0']",1
carte di credito,['64.92.0'],"['95.11.0', '32.40.1', '47.41.0', '64.19.1', '64.92.0', '85.51.0', '66.19.1', '46.49.1', '26.20.0', '84.13.9']",1
momtaggio e smontaggio ponteggi,['43.99.0'],"['33.12.3', '33.20.0', '77.32.0', '33.14.0', '33.12.1', '08.11.0', '41.20.0', '33.12.5', '46.63.0', '16.10.0']",0
servizi di assistenza riparazione e manutenzione,['n.c.   '],"['33.12.3', '45.20.3', '95.11.0', '95.22.0', '33.12.1', '33.12.9', '33.16.0', '33.12.5', '33.11.0']",0
produzione apparecchiature elettroniche,"['26.30.2', '26.12.0', '26.60.0', '26.20.0', '26.11.0']","['27.51.0', '26.30.2', '27.33.0', '32.20.0', '27.11.0', '26.40.0', '29.31.0', '27.12.0', '27.90.0', '26.11.0']",1
manutenzione opere di bonifica,['41.20.0'],"['33.15.0', '96.03.0', '81.29.9', '90.03.0', '45.20.1', '33.12.1', '33.12.9', '33.12.5', '36.00.0', '33.11.0']",0
vendita biciclette elettriche,['47.64.1'],"['46.52.0', '77.21.0', '46.43.1', '35.14.0', '30.92.1', '45.40.1', '46.69.2', '47.64.1', '46.49.4', '30.92.2']",1
servizi di montaggio mobili,['31.09.1'],"['45.20.3', '23.70.1', '43.29.0', '64.99.1', '95.24.0', '31.09.4', '31.09.5', '49.42.0', '28.22.0', '16.23.2']",0
fabbricazione arredo e oggettistica in legno,['31.09.1'],"['16.24.0', '23.70.1', '16.29.3', '31.09.4', '16.29.1', '31.02.0', '31.09.1', '23.42.0', '16.21.0', '16.23.2']",1
fabbricazione di serrature e cerniere,['25.72.0'],"['25.73.1', '32.30.0', '46.74.1', '25.40.0', '25.72.0', '15.12.0', '14.19.1', '31.09.3', '31.01.1', '27.90.0']",1
noleggio a caldo macchine agricole artigianato,['77.31.0'],"['77.12.0', '77.21.0', '77.39.1', '43.99.0', '01.61.0', '77.29.9', '77.39.9', '77.32.0', '77.35.0', '77.31.0']",1
assistenza ragazzi con problemi familiari,['88.99.0'],"['87.90.0', '86.90.3', '87.20.0', '88.99.0', '82.19.0', '85.59.9', '53.20.0', '88.91.0', '85.60.0']",1
procacciatore d'affari edilizia,['46.13.0'],"['46.18.9', '46.16.0', '46.14.0', '46.12.0', '46.13.0', '46.15.0', '46.17.0', '46.18.3', '46.18.2', '46.18.1']",1
illuminazione led produzione,['27.40.0'],"['26.70.2', '27.11.0', '27.40.0', '26.40.0', '35.11.0', '23.19.9', '27.90.0', '26.11.0']",1
attivita non comunemente classificate,['18.12.0'],"['58.29.0', '88.99.0', '43.39.0', '46.90.0', '43.99.0', '47.11.4', '82.99.9', '94.99.9', '49.41.0', '74.90.9']",0
guida trattori agricoli,"['46.61.0', '33.12.6', '28.30.1', '47.52.4']","['33.12.6', '74.90.1', '28.30.9', '46.14.0', '46.61.0', '01.61.0', '33.12.7', '43.12.0', '28.30.1', '77.31.0']",1
commercio prodotti calzolaio,"['32.50.3', '95.23.0']","['46.42.4', '47.72.2', '73.11.0', '14.31.0', '47.11.5', '47.51.1', '47.52.4', '47.82.0', '46.41.1', '47.72.1']",0
attivita di post produzione cinematografica  di video e di programmi televisivi,['59.12.0'],"['59.14.0', '59.12.0', '59.11.0', '93.19.1', '73.11.0', '59.13.0', '26.70.2', '26.30.1', '26.40.0', '18.20.0']",1
servizi tecnici colaudi,"['69.20.1', '62.09.0', '74.90.9', '52.21.9']","['80.30.0', '82.11.0', '71.12.2', '71.20.1', '62.02.0', '95.29.0', '02.40.0', '81.10.0', '49.42.0', '69.20.1']",1
"taglio, modellatura e finitura di pietre",['23.70.1'],"['25.61.0', '23.70.1', '08.12.0', '32.12.2', '25.62.0', '08.11.0', '33.12.9', '25.50.0', '23.70.2', '16.10.0']",1
controllo qualitu barche,['30.12.0'],"['33.15.0', '30.12.0', '46.14.0', '70.22.0', '71.20.1', '46.69.1', '69.20.2', '75.00.0', '33.11.0', '64.11.0']",1
consulenza manageriale  attivita commerciale,['78.10.0'],"['66.19.2', '73.11.0', '69.10.1', '70.22.0', '82.99.9', '64.99.3', '69.20.1', '74.90.9']",0
"conduzione di esperienze, corsi di cucina, visita attrazioni",['85.59.2'],"['79.11.0', '73.11.0', '79.12.0', '79.90.2', '85.59.2', '85.51.0', '91.03.0', '93.29.9', '79.90.1', '96.09.0']",1
offro servizi consulenza online,['63.12.0'],"['74.90.1', '66.19.2', '69.10.1', '70.22.0', '62.02.0', '53.20.0', '85.60.0', '69.20.1']",0
servizi dei servizi d' informazione,"['63.99.0', '82.91.2']","['80.30.0', '82.19.0', '82.11.0', '63.99.0', '96.02.0', '49.42.0', '79.90.1', '86.21.0', '96.09.0']",1
istallazione e manutenzione cucine industriale,['33.20.0'],"['33.11.0', '33.20.0', '43.32.0', '33.12.9', '33.12.4', '33.12.1', '33.12.5', '33.12.2']",1
impresa di pulizia,"['81.21.0', '81.29.9', '81.22.0']","['81.21.0', '82.99.1', '43.39.0', '81.29.9', '81.22.0', '95.24.0', '81.29.1', '33.12.4', '68.20.0']",1
forniture di pasti preparati catering per eventi,['56.21.0'],"['10.85.0', '28.93.0', '56.21.0', '46.38.3', '56.29.2', '56.10.4', '10.61.4', '56.10.2', '96.09.0']",1
consulenza sportiva e culturale,['93.13.0'],"['84.12.4', '66.19.2', '93.19.1', '69.10.1', '70.22.0', '62.02.0', '85.51.0', '90.03.0', '85.60.0']",0
bagni stazione di parma,['60.20.0'],"['93.11.2', '43.22.0', '56.30.0', '81.29.9', '93.21.0', '96.02.0', '96.04.2', '96.04.1', '96.09.0']",0
attivita      degli studi di architettura,['71.11.0'],"['86.23.0', '82.11.0', '69.10.1', '94.12.2', '69.10.2', '71.11.0', '71.12.1', '91.02.0', '97.00.0', '74.90.9']",1
tecnico apparecchiature medicali,['33.13.0'],"['33.20.0', '81.22.0', '26.40.0', '90.03.0', '26.60.0', '33.13.0', '32.50.1', '74.10.3']",1
commercio all'ingrosso di oggettistica varia e di mobili di qualsiasi materiale,['46.47.1'],"['46.52.0', '46.47.1', '46.65.0', '46.62.0', '46.47.3', '47.89.0', '46.49.9', '46.49.5', '47.65.0', '47.79.2']",1
montaggio e traslochi,['49.42.0'],"['33.12.3', '45.20.9', '43.33.0', '43.29.0', '33.20.0', '95.24.0', '41.20.0', '49.42.0', '28.22.0', '33.19.0']",1
pilota di drone telecomandati,"['26.51.1', '52.22.0']","['30.12.0', '61.90.9', '51.10.1', '85.53.0', '30.30.0', '93.11.9', '74.20.1', '77.35.0', '51.22.0', '51.10.2']",0
noleggio attrezzature per eventi,"['77.33.0', '77.39.9', '77.31.0', '77.21.0']","['77.21.0', '77.29.9', '77.39.9', '77.32.0', '77.35.0', '77.11.0', '77.33.0', '77.31.0', '90.02.0']",1
somministrazione stagionale alimenti e bevande   bar,['56.30.0'],"['10.13.0', '46.34.1', '56.30.0', '56.10.1', '82.99.9', '46.17.0', '56.10.4', '16.10.0']",1
produzione distrumenti e attrezzature di misurazione per uso scientifico,['26.70.1'],"['25.73.1', '46.69.9', '47.78.2', '26.70.1', '26.70.2', '23.44.0', '32.50.1', '26.51.1', '26.51.2']",1
istruzione secondaria dis econdo grado,['85.31.1'],"['85.42.0', '85.10.0', '85.31.1', '85.31.2', '85.59.9', '85.60.0', '85.41.0', '85.59.3', '85.32.0']",1
produzione beni alimentari,"['10.85.0', '10.73.0', '28.93.0', '27.11.0', '10.52.0', '10.91.0', '10.89.0']","['11.05.0', '10.81.0', '01.11.1', '10.85.0', '10.39.0', '10.86.0', '10.51.2', '10.61.4', '10.89.0']",1
societa cooperativa edilizia,['41.10.0'],"['27.51.0', '35.13.0', '42.91.0', '43.91.0', '64.19.1', '41.10.0', '43.12.0', '64.99.1', '97.00.0', '16.23.2']",1
attivita corale  musicale,['90.01.0'],"['84.25.1', '86.23.0', '84.12.4', '90.01.0', '95.29.0', '84.25.2', '93.12.0', '91.02.0', '79.90.1', '90.02.0']",1
servizi amministrativi per le imprese,"['82.11.0', '70.22.0', 'n.c.   ', '66.19.3', '69.20.1']","['66.19.2', '82.19.0', '82.11.0', '70.22.0', '82.99.3', '82.99.9', '81.10.0', '02.40.0', '68.20.0']",1
artigiani e operai specializzati della lavorazioni artigianali casearie,['10.51.2'],"['25.99.1', '10.83.0', '46.15.0', '82.92.1', '33.12.9', '46.17.0', '28.95.0', '17.12.0', '16.29.3']",0
produzione di pane prodotti di pasticceria freschi cod reg  di metalli di base non ferrosi,['46.72.2'],"['23.99.0', '10.85.0', '10.72.0', '10.73.0', '46.72.2', '25.93.1', '24.45.0', '24.10.0', '10.71.2', '10.71.1']",1
attivita con animali,"['46.23.0', '01.62.0']","['84.25.1', '93.19.9', '01.49.2', '46.23.0', '01.49.9', '94.99.6', '01.70.0', '46.11.0', '75.00.0', '96.09.0']",1
vendita oli essenziali,['20.53.0'],"['46.21.2', '47.91.3', '46.34.1', '35.14.0', '47.91.2', '46.69.2', '46.33.2', '46.72.2', '20.53.0', '47.29.9']",1
manod     opera per imprese su veicoli,['29.10.0'],"['64.99.4', '28.11.1', '77.32.0', '30.92.3', '30.99.0', '45.20.1', '49.41.0', '33.12.9', '33.12.5', '29.10.0']",1
posa scale metalliche,['25.99.9'],"['25.61.0', '25.99.9', '24.41.0', '38.32.1', '24.53.0', '24.52.0', '32.12.1', '25.11.0', '31.01.2', '32.99.1']",1
locazione posto barca,"['52.22.0', '50.10.0']","['77.12.0', '77.21.0', '77.34.0', '77.39.9', '52.29.2', '50.20.0', '77.35.0', '77.11.0', '68.20.0']",0
installazione di impianti idraulici  di riscaldamento e di condizionamento dell     aria  inclusa manutenzione e riparazione   cod  reg,['43.22.0'],"['45.20.4', '43.22.0', '46.74.2', '33.12.4', '43.21.0']",1
costruzione edifici residenziali,['41.20.0'],"['42.12.0', '42.22.0', '30.30.0', '43.99.0', '42.91.0', '43.91.0', '41.20.0', '42.99.0', '42.21.0', '16.23.2']",1
commercio all'ingrosso di strumenti musicali,['46.49.9'],"['46.69.9', '46.48.0', '46.43.1', '46.34.1', '47.43.0', '47.59.6', '46.47.1', '46.49.9', '46.49.3', '46.69.1']",1
negozio di biggioteria,"['47.11.4', '47.78.9']","['46.18.9', '23.19.2', '47.72.2', '46.69.9', '56.30.0', '47.89.0', '47.64.1', '46.36.0', '46.47.2', '47.79.2']",0
riparazione capi di abbigliamento,['95.29.0'],"['95.11.0', '95.22.0', '95.29.0', '95.24.0', '95.23.0', '95.25.0', '33.19.0']",1
collabboratore agente in attivita fnanziaria,['n.c.   '],"['66.19.2', '46.14.0', '66.22.0', '46.12.0', '94.12.2', '64.99.5', '46.11.0', '64.99.2']",0
imballaggi di prodotti,"['47.78.9', '46.76.3']","['16.24.0', '25.92.0', '17.21.0', '14.20.0', '46.76.3', '22.22.0', '82.92.1', '82.92.2', '17.29.0', '14.19.2']",1
commercio al dettaglio internet,['47.91.1'],"['47.41.0', '47.76.1', '47.54.0', '47.72.1', '47.51.1', '47.26.0', '47.29.3', '47.21.0', '47.91.1', '47.25.0']",1
attivita' sportive indipendenti,"['93.19.9', 'n.c.   ']","['93.19.9', '86.90.2', '84.12.4', '66.22.0', '93.19.1', '77.21.0', '93.11.9', '90.03.0', '93.12.0', '93.29.9']",1
meccanica ed elettronica,['46.52.0'],"['45.20.3', '95.11.0', '71.12.1', '25.62.0', '27.32.0', '45.20.1', '29.31.0', '26.20.0', '26.11.0', '35.12.0']",0
servizi tecnici aziende,"['70.22.0', '74.90.9', '62.09.0', 'n.c.   ']","['95.11.0', '82.19.0', '71.12.2', '62.02.0', '81.29.1', '81.10.0', '49.42.0', '75.00.0', '69.20.1', '74.90.9']",1
organizzazione di feste e ceremonie,"['93.29.9', '96.09.0']","['96.09.0', '96.03.0', '94.91.0', '82.30.0', '56.21.0', '92.00.0', '93.29.9', '43.21.0', '90.02.0']",1
assistenza tecnica riparatore,"['95.11.0', 'n.c.   ']","['45.20.3', '95.11.0', '95.22.0', '95.29.0', '95.21.0', '95.12.0', '45.20.1', '33.12.9', '33.12.5']",1
influencer nel campo dell'immagine e della moda,['70.22.0'],"['46.42.1', '46.16.0', '74.10.1', '73.11.0', '74.10.2', '18.12.0', '46.18.3', '13.30.0', '90.02.0']",0
servizi di organizzazione aziendale e servizi di segreteria,['82.11.0'],"['63.11.1', '82.19.0', '82.11.0', '70.22.0', '82.30.0', '85.60.0', '79.90.1', '96.09.0']",1
assistenza sanitaria alla persona,['86.90.2'],"['86.90.3', '87.30.0', '87.20.0', '82.19.0', '82.11.0', '86.90.4', '88.10.0', '87.10.0', '86.22.0', '96.09.0']",0
riparazione di apparecchiature elettriche ed elettroniche,"['33.14.0', '95.12.0', '33.13.0']","['45.20.3', '95.11.0', '95.22.0', '95.29.0', '95.21.0', '33.14.0', '95.12.0', '33.13.0', '33.12.5']",1
compra vendita beni immobili,"['68.10.0', '68.31.0']","['96.03.0', '73.12.0', '45.11.0', '68.10.0', '68.31.0', '66.11.0', '47.91.1', '64.99.1', '79.90.1', '74.90.9']",1
assistenza macchinari per pasta,"['33.12.9', '28.93.0', '33.12.5']","['95.11.0', '10.85.0', '33.12.1', '33.12.9', '33.12.5', '28.95.0', '33.11.0']",1
realizzazione e vendita abbigliamento,"['14.19.2', '47.71.1', '46.16.0', '14.13.1']","['46.42.1', '47.71.1', '32.91.0', '13.91.0', '74.10.1', '14.20.0', '32.30.0', '31.09.4', '46.41.1', '13.30.0']",1
insegnamento primo soccoros,['85.31.1'],"['84.25.1', '52.21.6', '85.53.0', '85.10.0', '85.31.1', '85.59.9', '85.51.0', '85.59.2', '85.52.0', '85.60.0']",1
pasta di legno,['16.10.0'],"['16.24.0', '46.38.9', '10.85.0', '10.73.0', '02.10.0', '17.11.0', '16.29.1', '28.95.0', '16.10.0', '16.21.0']",1
compravendita prodotti oscuranti,['n.c.   '],"['46.34.1', '35.23.0', '47.59.3', '46.43.3', '47.91.2', '46.47.3', '68.10.0', '47.91.1', '46.75.0', '74.90.9']",0
consulenza ad assocazioni sportive,['n.c.   '],"['66.19.2', '93.19.1', '77.21.0', '70.22.0', '62.02.0', '85.51.0', '90.03.0', '93.12.0']",0
commercio cosmesi auto,"['20.42.0', '46.18.3', '96.02.0', '46.45.0']","['45.32.0', '46.69.9', '46.45.0', '45.20.2', '45.31.0', '45.11.0', '47.51.1', '47.78.3', '45.19.0', '46.41.1']",1
consulenza sviluppo business,['62.01.0'],"['66.19.2', '74.90.3', '73.11.0', '69.10.1', '70.22.0', '62.02.0', '74.90.2']",0
vendita prodotti fatti a mano,"['17.12.0', '15.12.0']","['25.73.1', '23.19.2', '28.13.0', '14.20.0', '26.51.2', '73.11.0', '47.52.1', '47.78.3', '17.12.0', '13.92.1']",1
commercioal dettaglio di telefonini ed elettrodomesici,"['47.54.0', '47.42.0']","['46.52.0', '47.59.2', '47.52.1', '47.52.2', '47.78.2', '47.43.0', '47.54.0', '47.78.3', '47.29.3', '47.42.0']",1
manutenzione di dispositivi e kit sterili,['32.50.1'],"['81.22.0', '33.12.9', '33.12.4', '33.16.0', '33.12.5', '33.11.0']",0
commercio di cani on line,['47.91.1'],"['46.38.9', '45.11.0', '46.23.0', '45.19.0', '47.52.4', '01.70.0', '46.32.1', '47.91.1', '47.76.2', '96.09.0']",1
"installazione di impianti elettrici, idraulici ed altri lavori di costruzione e installazione","['43.21.0', '43.22.0']","['43.29.0', '43.21.0', '33.20.0', '43.22.0']",1
cibi da asporto,['56.10.2'],"['46.14.0', '56.10.5', '53.20.0', '49.41.0', '46.38.3', '49.32.1', '51.21.0', '56.29.2', '56.10.4', '56.10.2']",1
informazioni alle aziende,['82.91.2'],"['68.20.0', '70.22.0', '58.12.0', '74.90.2', '82.91.2', '94.11.0', '69.20.1', '74.90.9']",1
produzione oggetti da laboratorio analisi,['20.59.4'],"['23.91.0', '71.20.1', '26.70.1', '26.70.2', '32.99.3', '20.51.0', '26.51.2', '32.50.1']",0
commercio ingrosso cialde caffe,['46.37.0'],"['46.42.4', '46.73.2', '46.37.0', '46.76.3', '46.34.1', '47.29.2', '10.83.0', '46.44.2', '47.25.0']",1
progettazione sviluppo finanziario,['62.01.0'],"['66.19.2', '41.10.0', '70.22.0', '69.20.2', '66.11.0', '68.20.0', '69.20.1', '64.91.0']",0
vendita all'ingrosso inchiostri,['46.75.0'],"['46.73.2', '46.21.2', '46.33.1', '46.43.2', '46.72.2', '46.42.2', '46.49.5', '46.75.0', '20.30.0']",1
commercio telefono cordles usati,['47.79.3'],"['26.30.2', '46.52.0', '47.91.3', '47.79.3', '46.47.1', '47.89.0', '46.65.0', '95.12.0', '47.42.0', '47.79.2']",1
piccoli lavori edili e di manutenzione elettrica non ricadenti nella ex legge,['43.39.0'],"['43.39.0', '27.52.0', '43.29.0', '45.20.2', '95.29.0', '33.14.0', '74.90.9', '33.12.9', '41.20.0', '43.21.0']",1
altre attivita      di servizi per la persona nca,['96.09.0'],"['88.99.0', '81.29.9', '64.92.0', '94.99.9', '63.99.0', '93.29.9', '62.09.0', '74.90.9', '96.09.0']",1
lavori edili non specializzati,['43.39.0'],"['81.21.0', '43.39.0', '46.90.0', '43.99.0', '47.11.4', '95.29.0', '68.10.0', '49.41.0', '41.20.0', '47.19.9']",1
"commercio all'ingrosso e al dettaglio,import export di casalinghi","['46.31.1', '46.90.0', '46.49.9', '46.22.0']","['46.42.1', '46.42.4', '47.71.1', '47.59.2', '46.43.1', '47.23.0', '47.78.9', '47.51.1', '46.42.3', '46.41.2']",0
deleghe e compilazione documenti,['82.19.0'],"['82.19.0', '82.11.0', '52.29.2', '33.20.0', '69.20.2', '82.99.4', '62.09.0', '69.20.1']",1
commercio al dettaglio di libri di seconda mano,['47.79.1'],"['47.62.1', '46.49.2', '47.41.0', '47.79.3', '47.78.3', '47.51.1', '47.89.0', '47.61.0', '47.79.1', '47.79.2']",1
noleggio bus con conducente,['49.39.0'],"['77.12.0', '77.21.0', '77.35.0', '49.32.2', '49.41.0', '49.32.1', '77.11.0', '51.21.0', '51.10.2']",0
aiuto cantiere geometra,['71.12.3'],"['74.90.1', '71.12.3', '95.11.0', '38.31.1', '08.91.0', '43.91.0', '33.20.0', '33.12.9', '41.20.0', '43.12.0']",1
aiuto gestione magazzino,['52.10.1'],"['55.90.1', '82.19.0', '73.11.0', '52.10.1', '70.22.0', '47.19.1', '52.10.2', '52.21.4', '33.12.5', '33.11.0']",1
taglio tessuto abbigliamento,['14.13.1'],"['13.91.0', '14.13.2', '47.51.1', '95.29.0', '25.62.0', '77.29.1', '46.41.1', '47.82.0', '16.10.0', '13.30.0']",0
installazione impianti idrotermosanitari e riscaldamento,['43.22.0'],"['43.29.0', '43.21.0', '33.20.0', '43.22.0']",1
operatore educativo in un centro terapeutico,['86.90.2'],"['86.90.3', '86.23.0', '87.20.0', '88.99.0', '85.59.9', '86.22.0', '85.51.0', '88.91.0', '85.52.0', '85.60.0']",0
orologi e campane,['25.99.9'],"['46.18.9', '95.25.0', '46.48.0', '56.30.0', '47.77.0', '33.13.0', '96.02.0', '55.20.4', '26.52.0', '27.90.0']",0
divise sanitarie sanitario,['14.12.0'],"['82.11.0', '86.90.4', '81.22.0', '87.10.0', '86.22.0', '84.12.1', '75.00.0', '23.42.0', '86.21.0']",0
commercio al dettaglio di prodotti per la pesca,['47.64.1'],"['47.71.1', '47.23.0', '47.26.0', '47.78.3', '47.52.4', '47.64.1', '47.59.3', '46.38.1', '47.81.0', '46.69.1']",1
associazione promozione turistica del  territorio,['79.90.1'],"['84.12.4', '79.11.0', '93.19.1', '79.12.0', '94.12.2', '79.90.2', '70.21.0', '94.11.0', '79.90.1', '55.20.1']",1
commercio al dettaglio profumerie,['47.75.1'],"['46.45.0', '47.52.2', '47.76.1', '47.54.0', '47.78.3', '47.26.0', '47.51.1', '47.75.1', '47.25.0']",1
lezioni private di calcio,['85.59.9'],"['93.19.9', '80.30.0', '77.21.0', '85.59.9', '64.92.0', '85.51.0', '85.52.0', '80.10.0', '85.59.3']",1
posa in opera infissi  arredi  controsoffitti,['43.32.0'],"['46.73.2', '43.21.0', '43.33.0', '43.99.0', '43.91.0', '33.20.0', '43.32.0', '41.20.0', '43.34.0']",1
prestazioni servizi consulenza alimentari,"['73.11.0', '71.20.1', '62.02.0']","['74.90.1', '66.19.2', '87.20.0', '69.10.1', '70.22.0', '53.20.0', '85.60.0', '69.20.1']",0
produzione abbigliamento sportivo,['14.19.2'],"['32.91.0', '13.91.0', '23.91.0', '32.30.0', '14.31.0', '15.20.1', '26.60.0', '14.19.2', '32.50.3', '32.99.1']",1
cardatura e pettinatura di tutti i tipi,['13.10.0'],"['43.31.0', '18.14.0', '32.99.3', '33.12.9', '31.09.5', '17.29.0', '13.10.0', '17.12.0', '43.34.0', '13.30.0']",1
altre attivita di produzione cinematografica,"['59.14.0', '59.11.0', '59.12.0']","['59.14.0', '59.11.0', '59.12.0', '59.13.0', '20.59.9', '74.20.1', '85.52.0', '58.19.0', '74.10.9', '90.02.0']",1
"impresa privata, agenzia pubblicitaria, agenzia creativa, design",['74.10.2'],"['74.10.1', '73.12.0', '73.11.0', '63.91.0', '70.22.0', '43.29.0', '70.21.0', '18.12.0', '74.10.2']",1
verniciatura di autoveicoli,['45.20.2'],"['25.61.0', '43.31.0', '45.20.9', '45.20.2', '45.20.1', '31.09.5', '18.12.0', '29.10.0', '43.34.0', '20.30.0']",1
dipartimento della cultura e del turismo,['93.29.9'],"['84.12.4', '91.01.0', '84.21.0', '84.13.8', '79.90.2', '90.03.0', '91.03.0', '79.90.1', '74.90.9', '55.20.1']",0
consulenza per la collocazione e ricollocazione di giovani portatori di  handicap centro socio educativo,['88.99.0'],"['87.90.0', '88.99.0', '73.11.0', '70.22.0', '88.10.0', '78.10.0', '90.03.0', '88.91.0', '85.60.0']",1
commercio pietre  sabbia  vetro,['46.73.2'],"['23.19.2', '46.73.2', '46.48.0', '47.52.1', '46.44.2', '46.44.1', '46.72.2', '46.73.3', '46.76.9', '33.19.0']",1
pubblicita        agenzie studi,['73.11.0'],"['73.12.0', '63.91.0', '69.10.1', '73.11.0', '82.99.2', '71.11.0', '82.91.2', '70.21.0', '96.09.0']",1
